Four Digit,Previous Edition,Current Year,Course (Shaded by author), 2025 Pages ," Fl, PC, Em, H pgf ",NOTES, Santucci Title: ,CFP,CPA, EA OTRP , ERPA , CDFA ,CIMA CPWA RMA,IAR,IAR #,$ PDF or Exam Only,$ Print,$ per PDF CPE,Annual Update (Launch),Exam Changes?,Subs Updates, CFP Board # , EA # , ERPA # ,CFP CE  Calc,CPA CPE Calc,CFP Words,CPA words,Rev Q,Exam Q,Min. No. Exam Q,IAR Words,IAR Q,CFP  Subj,CPA  Subj,TX Subject Code,Previous CFP Cr ,Previous CPA Cr , Previous EA OTRP ERP Cr  , Previous CDFA Cr  , Notes ,Notes, ,,,,,,,,
3670,367022,367025,7 Habits of Effective CFOs,,F,,,,1.0, , 15 ,,,,, 15 , 27 ,15,5/21/25,No,No,na,,,,,," 6,436 ",3,5,,,,,Personal Development,, ,,,,,,,,,,,,,,
3671,367122,367125,7 Habits of Effective Controllers,,,,,,1.0,   , 15 ,,,,, 15 , 27 ,15,5/21/25,No,No,na,,,,,," 6,430 ",3,5,,,,,Personal Development,, ,,,,,"3/19/20: exam q 33 replaced with 2020 updated.7/19/17: corrected wrong cpe listed on p ii. 3/27/17: Text has one less chapters (leases), revised exam.",,,,,,,,,
3617,361720,361723,Accountants' Guidebook,," F, PC ",,,,30.0,, 200 ,,,,, 199 , 229 ,7,3/7/23,No,Yes,na,,,,,," 204,462 ",90,150,,,,,Accounting,01,,,,,,,,,,,,,,,
3714,371424,371425,Accounting Best Practices,,PC,,,,12.0,"2,025.00",,,,,, 85 , 109 ,,4/23/25,Yes,,,,,,,,,,60,,,,,Accounting,,,,,,,,,,,,,,,,
3647,364721,364724,Accounting for Changes and Error Corrections,,F,,,,1.0,, 15 ,,,,, 15 , 27 ,15,4/29/24,No,No,na,,,,,,,,5,,,,,Accounting,01,,,,,,,,,,,,,,,
3601,360121,360124,Accounting Controls Guidebook ,,F,,,,12.0,, 85 ,,,,, 85 , 109 ,7,5/9/24,No,one,na,,,,,," 74,231 ",36,60,,,,,Accounting,01,,,,,,,,,,,,,,,
3692,,369224,Accounting for Bonds,,,,,,1.0,,,,,,, 15 , 27 ,,2/12/2024,New,,na,,,,,,,,,,,,,Accounting,01,,,,,,,,,,,,,,,
3801,,380124,Accounting for Breweries,,,,,,2.0,,,,,,,25,37,,10/22/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3663,366322,366325,Accounting for Casinos and Gaming,,,,,,10.0,, 70 ,,,,,75,93,0,4/28/25,No,Yes,na,,,,,,,,,,,,,Accounting,01,,,,,,,,,,,,,,,
3778,,377824,Accounting for Churches,,,,,,4.0,,,,,,, 45 , 57 ,,6/10/24,new,,,,,,,,,,,,,,,Accounting,01,,,,,,,,,,,,,,,
3714,,371425,Accounting for Clubs,,,,,,3.0,,,,,,, 35 , 47 ,,5/6/25,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3641,364124,364125,Accounting for Cryptocurrency,,f,,,,1.0,, ,,,,, 15 , 27 ,15,11/11/24,No,,na,,,,,,,,,,,,,Accounting,01,,,,,,,,,,,,,,,
3635,363521,363524,Accounting for Derivatives and Hedges,,,,,,3.0,, 35 ,,,,, 35 , 47 ,12,1/3/24,None,None,na,,,,,,,9,15,,,,,Accounting,01,,,,,,,,,,,,,,,
3809,,380924,Accounting for Freight,,,,,,1.0,,,,,,, 15 , 27 ,,11/14/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3691,,369124,Accounting for Guarantees,,,,,,1.0,,,,,,, 15 , 27 ,,2/13/24,New,,na,,,,,,,,,,,,,Accounting,01,,,,,,,,,,,,,,,
3817,,381725,Accounting for Hedge Funds,,,,,,1.0,,,,,,, 15 , 27 ,,5/12/25,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3697,,369724,Accounting for Homeowners' Associations,,f,,,,3.0,,,,,,, 35 , 47 ,,2/14/24,New,,na,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3787,,378724,Accounting for Income Taxes,,PC,,,,1.0,,,,,,, 15 , 27 ,,8/13/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3602,360221,360224,Accounting for Inventory,, F,,,,13.0,, 90 ,,,,, 89 , 115 ,7,8/9/24,No,No,na,,,,,," 169,263 ",39,65,,,,,Accounting,01,,,,,,,,,,,,,,,
3701,,370124,Accounting for Investment Companies,,,,,,2.0,,,,,,, 25 ,37,,2/14/24,New,,na,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3627,362723,362725,Accounting for Investments ,," F, PC ",,,,3.0,, 35 ,,,,, 35 , 47 ,12,3/11/25,No,No,na,,,,,," 19,213 ",9,15,413,,,,Accounting,01,,,,,,,,,,,,,,,
3643,364322,364325,Accounting for Leases,, ,,,,2.0,, 25 ,,,,, 25 ,37,13,4/28/25,No,No,na,, ,,,," 12,923 ",6,10,,,,,Accounting,01,,,,,,,,,,,,,,,
3608,360822,360825,Accounting for Managers,308,F,,,,18.0,, 125 ,,,,, 125 , 155 ,7,1/12/2025,None,None,na,,,,,," 117,632 ",55,90,2201,,,,Accounting,01,,,,,,,,,,,,,,,
3629,,362924,Accounting for Merchandising Operations,,,,,,1.0,,,,,,, 15 , 27 ,,1/10/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3821,,382125,Accounting for Mining,,,,,,1.0,,,,,,, 15 , 27 ,,5/18/25,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3734,,373424,Accounting for Real Estate Brokerages,,,,,,1.0,,,,,,, 15 , 27 ,,2/28/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3748,,374824,Accounting for Restaurants and Bars,,,,,,4.0,,,,,,, 45 , 57 ,,3/12/24,New,,na,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3793,,379324,Accounting for Retirement Benefits,,,,,,1.0,,,,,,, 15 , 27 ,,9/9/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3807,,380724,Accounting for Ship Owners,,,,,,1.0,,,,,,, 15 , 27 ,,11/13/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3725,,373524,Accounting for Software,,,,,,1.0,,,,,,, 15 , 27 ,,2/29/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3648,364821,364824,Accounting for Stock-Based Compensation,,,,,,2.0,, 25 ,,,,, 25 ,37,13,6/11/24,None,None,na,,,,,,,,10,,,,,Accounting,01,,,,,,,,,,,,,,,
3799,,379924,Accounting for Truckers,,,,,,4.0,,,,,,, 45 , 57 ,,10/7/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3711,,371124,Accounting for Veterinary Practices,,,,,,3.0,,,,,,, 35 , 47 ,,2/16/24,New,,na,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3820,,382025,Accounting for Vineyards and Wineries,,,,,,2.0,,,,,,, 25 , 37 ,,5/16/25,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3737,373724 (2021),373725,Accounting Information Systems,,,,,,13.0,,,,,,, 89 , 115 ,,11/7/24,No, ,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3609,360921,360924,Accounting Procedures Guidebook,," F, PC ",,,,11.0,, 75 ,,,,, 79 , 97 ,7,7/14/24,None,None,na,,,,,,   ,33,55,,,,,Accounting,01,,,,,,,,,,,,,,,
3739,373924,373925,Activity-Based Costing,50,F,,,,3.0,,,,,,, 35 , 47 ,,1/12/25,No,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3783,,378324,Agile Auditing,,,,,,1.0,,,,,,,15,27,,7/17/24,New,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3675,367522,,Agricultural Accounting,,,,,,10.0,, 70 ,,,,,75,93,,8/15/22,one,one,na,,,,,,,,,,,,,Accounting,01,,,,,,(three addl Q 2022),,,,,,,,,
3824,,382425,AI for Accountants,,,,,,2.5,,,,,,, 29 , 41 ,,7/7/25,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3818,,381825,Auditing Construction Contractors,,,,,,3.0,,,,,,, 35 , 47 ,,5/15/25,new,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3766,,376624,Auditing Nonprofit Entities,,,,,,3.0,,,,,,, 35 , 47 ,,3/20/24,New,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3639,,363924,Auditing State and Local Governments,, ,,,,3.0,,,,,,, 35 , 47 ,,1/20/24,New,,na,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3715,371524,371525,Auditor Independence,,,,,,2.0,,,,,,, 25 ,37,,2/17/25,Copy,,na,,,,,,,,,,,,,Regulatory Ethics,,,,,,,,,,,,,,,,
3712,,371224,Bank Reconciliation Essentials,,,,,,1.0,,,,,,, 15 , 27 ,,2/16/24,New,,na,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3642,364224,364225,Bankruptcy Tax Guide,20, ,,,,1.0, 1.0 ,,,,,, 15 , 27 ,,1/12/25,,,,FWKK0-T-00655-25-S,,,,,,,,,,,,Taxes,,,,,,,,,,,,,,,,
3755,,375524,Behavioral Ethics,,,,,,1.5,,,,"2, 2",,, 19 ,31,,3/13/24,New,,na,,,,,,,,,,,,,Behavioral Ethics,,,,,,,,,,,,,,,,
3722,,372224,Behavioral Forensics,,,,,,1.5,,,,,,, 19 , 31 ,,2/22/24,New,,na,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3733,373325,373325,Better Business Writing,,,,,,2.5,,,,,,, 29 , 41 ,,12/24/24,No,,na,,,,,,,,,,,,,Communications and Marketing,,,,,,,,,,,,,,,,
3672,,367224,Billing Controls,, ,,,,1.0,,,,,,, 15 , 27 ,,1/19/24,New,,,,,,,,,,,,,,,Aounting,,,,,,,,,,,,,,,,
3630,363022,363024,Bookkeeping Guidebook ,,F,,,,15.0,, 100 ,,,,, 105 , 135 ,7,7/12/22,yes,No,na,,,,,," 96,361 ",45,75,,,,,Accounting,01,,,,,"7/14/24 File size issue (7200 kb) had to eliminate bookmarks, reduce file size, and optimize reducing all images to minimimun quatlity.","1/1/19: Increased Cr, same Exam",,,,,,,,,
3622,362220,362223,Budgeting: A Comprehensive Guide    ,,"F,PC",,,,14.0,, 100 ,,,,, 99 , 125 ,7,6/13/23,No,No,na,,,,,," 92,346 ",42,70,,,,,Finance,06,,,,,,,,,,,,,,,
3634,363422,,Business Combinations and Consilidations,,,,,,3.5,, 40 ,,,,, 39 , 51 ,11,10/18/22,Yes,Yes,na,,,,,," 22,559 ",11,18,,,,,Accounting,01,,,,,,CFP credit added 2.0 beginning in 2019.,,,,,,,,,
3660,366021,366024,Business Insurance Overview,,Author title: Fundamentals,,, 2.0 ,3.0,   , 35 ,,,,, 35 , 47 ,12,8/9/24,None,None,257118,,,,,,,9,15,,,,Insur.,Finance,06,,,,,,,,,,,,,,,
3623,362320,362324,Business Ratios Guidebook   ,,F,,,,16.0,, 110 ,,,,,109,139,7,10/5/23,None,None,na,,,,,,,48,80,,,,,Finance,06,,,,,,"2017 update: Exam Q 88 and 101 changed, answer key same.",,,,,,,,,
3723,,372324,Business Statistics with Excel,,,,,,2.0,,,,,,, 25 ,37,,2/22/24,,,,,,,,,,,,,,,,Statistics,,,,,,,,,,,,,,,,
3758,,375824,Business Strategy,,,,,,4.0,,,,,,, 45 , 57 ,,3/15/24,New,,na,,,,,,,,,,,,,Business Management and Organization,,,,,,,,,,,,,,,,
3656,365622,365624,Business Valuation  ,," F, PC ",,, 2.0 ,3.0,   , 35 ,3.0,,,, 35 , 47 ,12,10/7/24,None,None,257127,,,,,," 19,202 ",9,15,406,,,,Finance,06,,,,,,,,,,,,,,,
3644,364421,364424,Capital Budgeting ,,,,,,5.0,, 50 ,,,,, 49 , 64 ,10,4/29/24,None,None,na,,,,,,,,25,,,,,Finance,06,,,,,,,,,,,,,,,
3708,,370824,Car Dealership Accounting,,,,,,4.0,,,,,,, 45 , 57 ,,2/15/24,New,,na,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3771,,377124,Cash Receipts Controls,,,,,,2.0,,,,,,, 25 ,37,,3/22/24,New,,na,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3624,362420,362423,CFO Guidebook  ,,F,,,,22.0,, 155 ,,,,, 155 , 185 ,7,7/10/23,Yes,Yes,na,,,,,," 140,363 ",66,110,,,,,Finance,06,,,,,,,,,,,,,,,
3667,366722,366725,Change Management,,,,,,3.0,, 35 ,,,,, 35 , 47 ,12,4/28/25,None,None,na,,,,,," 20,328 ",9,15, ,,,,Business Management and Organization,13,,,,,,,,,,,,,,,
3777,377724,377725,Charibable Contributions Tax Guide,,,,,,1.0, 1.0 ,,,,,, 15 , 27 ,,6/10/25,New ,,,FWKK0-T-00629-24-S,,FWKK0-T-00718-25-S,,,,,,,,,,Taxes,,,,,,,,,,,,,,,,
3614,361421,361424,Closing the Books,,F,,,,13.0,, 90 ,,,,, 89 , 115 ,7,8/9/24,Yes,Yes,na,,,,,," 84,387 ",39,65,1730,,,,Accounting,01,,,,,,"9/8/19: Q 42 changed, 42 replaced.4/23/20: Increased from 10 to 11 CPE. ",,,,,,,,,
3662,366222,366225,Coaching and Mentoring,47,,,,,3.0,, 35 ,,,,, 35 , 47 ,,1/12/25,Same,Same,na,,,,,,,,,,,,,Personnel/HR,, ,,,,,5/18/20: course increased from 14 to 15 CPE  Exam up to 75 Q from 70,,,,,,,,,
3819,,381925,Conducting Remote Audits,,,,,,1.0,,,,,,, 15 , 27 ,,5/16/25,New,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3678,367820,367823,Conflict Management,,,,,,4.0,, 45 ,,,,, 45 , 57 ,,5/16/23,Copy,Copy,na,,,,,,,,,,,,,Personal Development,, ,,,,,,,,,,,,,,
3681,368120,368123,Construction Accounting,,,,,,11.0,, 75 ,,,,, 79 , 97 ,7,5/1/23,Yes,Yes,na,,,,,,   ,33,55,1319,,,,Accounting,01,,,,,,,,,,,,,,,
3776,,377624,Contract Management,,,,,,6.0,,   ,   ,,,, 54 , 69 ,,8/5/24,,,,,,,,,,,,,,,,Production,,,,,,,,,,,,,,,,
3621,362120,362123,Corporate Cash Management   ,,F,,,,15.0,, 100 ,,,,, 105 , 135 ,7,5/16/23,No,New,na,,,,,,   ,42,75,,,,,Finance,06,,,,,,9/18/17: update.,,,,,,,,,
3631,363120,363124,Corporate Finance ,,,,,,15.0,, 100 ,,,,, 105 , 135 ,7,11/13/23,None,None,na,,,,,," 100,221 ",45,75,,,,,Finance,06,,,,,,1/30/17: Updated to add review questions and exam q to make 14 CPE.,,,,,,,,,
3613,361322,361325,Cost Accounting Fundamentals,,F,,,,14.0,, 100 ,,,,, 99 , 125 ,7,2/17/25,None,None,na,,,,,," 90,067 ",42,70,,,,,Accounting,01,,,,,, ,,,,,,,,,
3615,361520,361524,Cost Management Guidebook    ,,F,,,,17.0,, 120 ,,,,, 119 , 149 ,7,9/20/23,Yes,None,na,,,,,," 113,626 ",51,85,,,,,Finance,06,,,,,,,,,,,,,,,
3718,371824,371825,CPA Firm Mergers and Acquisitions,,,,,,3.0,,,,,,, 35 , 47 ,,3/11/25,No,,,,,,,,,,,,,,,Finance,,,,,,,,,,,,,,,,
3611,361120,361123,Creating a Lean Accounting Department,,F,,,,14.0,, 100 ,,,,, 99 , 125 ,7,1/17/23,No,,na,,,,,," 91,769 ",42,70,,,,,Accounting,01,,,,,,  ,,,,,,,,,
3625,362520,362525,Credit & Collection Guidebook,,F,,,,14.0,, 100 ,,,,, 99 , 125 ,7,5/19/25,Yes,,na,,,,,,,44,70,,,,,Accounting,01,,,,,5/19/25: 2023 edition never received - 2020 ed updated 5/19/25.,,,,,,,,,,
3810,,381024,Dealing with Conflicts of Interest,,,,,,1.0,,,,,,, 15 , 27 ,,11/18/24,New,,,,,,,,,,,,,,,Regulatory Ethics,,,,,,,,,,,,,,,,
3653,365321,365324,Developing and Managing Teams ,,,,,,4.0,, 45 ,,,,, 45 , 57 ,11,6/12/24,None,,na,,,,,," 25,737 ",12,20,424,,,,Business Management and Organization,13,,,,,,,,,,,,,,,
3646,,364624,Disaster Recovery Planning,, ,,,,6.0,,   ,   ,,,, 54 , 69 ,,1/10/24,New,,,,,,,,,,,,,,,Information Technolory,,,,,,,,,,,,,,,,
3757,,375724,Economic Indicators,,,,, 1.5 ,2.5,,   ,   ,2.5,,,29, 41 ,,3/22/24,New,,324170,,,,,,,,,,,,,Economics,,,,,,,7/1/24: launched with IWI CIMA credit,,,,,,,,,
3792,,379224,Effective Corporate Turnarounds,,,,,,4.0,,,,,,, 45 ,57,,8/23/24,new,,,,,,,,,,,,,,,Business Management and Organization,,,,,,,,,,,,,,,,
3687,,368724,Effective Customer Service,,,,,,2.0,,,,,,, 25 ,37,,1/20/24,New,,324170,,,1.93,,17342,,,,,,,,Business Management and Organization,,,,,,,,,,,,,,,,
3710,,371024,Effective Decision-Making,,,,,,2.0,,,,,,, 25 ,37,,2/15/24,New,,na,,,,,,,,,,,,,Personal Development,,,,,,,,,,,,,,,,
3669,,366924,Effective Employee Training,,,,,,2.0,,,,,,, 25 ,37,,12/29/23,New,,na,,,,,,,,10,,,,,Personnel/HR,,,,,,,,,,,,,,,,
3725,,372524,Effective Leadership,,,,,,2.5,,,,,,,29, 41 ,,2/22/24,New,,na,,,,,,,,,,,,,Personal Development,,,,,,,,,,,,,,,,
3676,367622,,Effective Negotiation,," F, PC ",,,,5.0,, 50 ,,,,, 49 , 64 ,,8/15/22,Same,,na,,,,,,,,,,,,,Business Management and Organization,13,,,,,,,,,,,,,,,
3772,,377224,Effective Sales Forecasting,,,,,,3.0,,,,,,, 35 , 47 ,,3/22/2024,New,,na,,,,,,,,,,,,,Finance,,,,,,,,,,,,,,,,
3726,,372624,Effective Time Management,,,,,,3.0,,,,,,, 35 , 47 ,,2/22/2024,New,,,,,,,,,,,,,,,Personal Development,,,,,,,,,,,,,,,,
3677,367722,,Employee Onboarding,,,,,,2.0,, 25 ,,,,, 25 ,37,,10/18/2022,Same,,na,,,,,,,,10,,,,,Personnel/HR,,,,,,,,,,,,,,,,
3649,364921,264924,Enterprise Risk Management   ,,,,,,11.0,, 70 ,,,,,79,97,7,7/11/24,Yes,,na,,,,,,,,55,,,,,Management Services,06,,,,,,,,,,,,,,,
3773,37324 (2021),37325,Entrepreneur's Guidebook,,,,,,11.0,,,,,,, 79 , 97 ,,11/7/24,No,,na,,,,,,,,,,,,,Business Management and Organization,,,,,,,,,,,,,,,,
3709,,370924,Essentials of Annuities,,,,,,1.0,,,,,,, 15 , 27 ,,2/15/24,New,,na,,,,,,,,,,,,,Specialized Knowledge,,,,,,,,,,,,,,,,
3784,,378424,Essentials of Business Law,,,,,,15.0,,,,,,, 105 , 135 ,,8/12/24,New,,,,,,,,,,,,,,,Business Law,,,,,,,,,,,,,,,,
3749,374924,374925,Essentials of Business Math,,,,,,4.0,,,,,,, 45 , 57 ,,5/5/25,No,,,,,,,,,,,,,,,Finance,,,,,,,,,,,,,,,,
3781,,378124,Essentials of Corporate Bankruptcy,,,,,,2.0,,,,,,, 25 ,37,,6/9/24,New,,,,,,,,,,,,,,,Business Law,,,,,,,,,,,,,,,,
3785,,378524,Essentials of Employment Law,,,,,,5.0,,,,,,, 49 ,64,,8/12/24,New,,,,,,,,,,,,,,,Business Law,,,,,,,,,,,,,,,,
3790,,379024,Essentials of Disability Insurance,,,,,,1.0,,,,,,, 15 ,27,,8/20/24,New,,,,,,,,,,,,,,,Specialized Knowledge,,,,,,,,,,,,,,,,
3661,,366123,Essentials of Life Insurance,,,,, 1.5 ,2.0,,, 2 ,,,, 25 ,37,,11/13/23,New,,320299,,,1.52,,13696,,,10,,,,,Specialized Knowledge,,,,,,,,,,,,,,,,
3795,,379524,Essentials of Long-Term Care,,,,,,2.0,,,,,,, 25 , 37 ,,9/26/24,New,,,,,,,,,,,,,,,Specialized Knowledge,,,,,,,,,,,,,,,,
3822,,382225,Essentials of Marketing,,,,,,10.0,,,,,,, 75 , 93 ,,6/9/25,,,,,,,,,,,,,,,,Communications and Marketing,,,,,,,,,,,,,,,,
3816,,381625,Essentials of Nonprofit Fundraising,,,,,,8.0,,,,,,, 65 , 83 ,,5/12/25,New,,,,,,,,,,,,,,,Finance,,,,,,,,,,,,,,,,
3813,,381325,Essentials of Remote Work,,,,,,2.0,,,,,,, 25 , 37 ,,3/28/25,New,,,,,,,,,,,,,,,Business Management and Organization,,,,,,,,,,,,,,,,
3604,360423,360424,Estate Planning Fundamentals,, f ,,, 4.5 ,6.0,,, 6 ,6.0,,, 54 , 69 ,,9/2/24,Same,,320300,,,4.83,,43475,,,30,,,,Estate Pl,Specialized Knowledge,,,Was Originally # for IFRS thru 2022,,,7/1/24: launched IWI/CIMA version,,,,,,,,,,
3716,371624,371625,Ethical Frameworks in Accounting,37,,,,,2.0,,,,,,, 25 ,37,,1/12/25,Same,,na,,,,,,,,,,,,,Behavioral Ethics,,,,,,,,,,,,,,,,
3717,371724,371725,Ethical Responsibilities,,,,,,2.0,,,,,,, 25 ,37,,2/22/25,No,,na,,,,,,,,,,,,,Regulatory Ethics,,,,,,,,,,,,,,,,
3719, ,371925,Excel Charts and Visualizations,,,,,,2.0,,,,,,, 25 ,37,,5/5/25,No,,na,,,,,,,,,,,,,Computer Software & Applications,,,,,,,,,,,,,,,,
3741,374124,374125,Excel Data Analysis Tools,,,,,,1.5,,,,,,, 19 , 31 ,,5/5/24,No,,na,,,,,,,,,,,,,Computer Software & Applications,,,,,,,,,,,,,,,,
3724,372424,382425,Excel Data Management,,,,,,1.5,,,,,,, 19 , 31 ,,5/5/25,No,,na,,,,,,,,,,,,,Computer Software & Applications,,,,,,,,,,,,,,,,
3745,374524,374525,Excel Formulas and Functions,,,,,,2.5,,,,,,,29, 41 ,,3/14/25,No,,na,,,,,,,,,,,,,Computer Software & Applications,,,,,,,,,,,,,,,,
3767,,376724,Expense Report Best Practices ,,,,,,1.0,,,,,,, 15 , 27 ,,3/20/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3779,,377924,Fair Value Accounting,,,,,,2.0,,,,,,, 25 ,37,,6/10/24,new,,,,,,,,,,,,,,,Accounting,01,,,,,,,,,,,,,,,
3720,,372024,Fiduciary Accounting,,,,,,1.5,,,,,,, 19 , 31 ,,2/21/24,New,,na,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3626,362620,362624,Financial Analysis A Business Decision Guide  ,," F, PC ",,,,19.0,, 135 ,,,,, 125 , 155 ,7,10/5/23,No,,na,,,,,," 126,202 ",57,95,,,,,Finance,06,,,,,,,,,,,,,,,
3651,365121,365124,Financial Forecasting and Modeling,,F,,,,5.0,, 50 ,,,,, 49 , 64 ,10,8/9/24,No,,na,,,,,,,15,25,,,,,Finance,06,,,,,,,,,,,,,,,
3610,361023,361025,Fixed Asset Accounting,,,,,,13.0,, 85 ,,,,, 89 , 115 ,7,12/19/22,No,,na,,,,,," 80,325 ",24,60,,,,,Accounting,01,,,,,,"2018: five new questions, exam now 145 q and up from 28 to 29 CPE",,,,,,,,,
3765,,376524,Fixed Asset Controls,,,,,,1.0,,,,,,, 15 , 27 ,,3/19/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3658,,365824,Foreign Currency Accounting,,,,,,2.0,,,,,,, 25 ,37,,1/11/24,,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3705,,370524,Forensic Analysis,,,,,,2.0,,,,,,, 25 ,37,,2/15/2024,New,,na,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3797,,379724,Form 1099 Compliance,,,,,,1.0, 1.0 ,,,,,, 15 , 27 ,,9/30/24,New,,,FWKK0-T-00645-24-S,,,,,,,,,,,,Taxes,,,,,,,,,,,,,,,,
3659,365924,365925,Form W-9 Compliance,27,,,,,1.0, 1.0 ,,,,,, 15 , 27 ,,1/22/25,No,,,FWKK0-T-00656-25-S,,,,,,,,,,,,Taxes,,,,,,,,,,,,,,,,
3791,,379124,Franchise Accounting,,,,,,1.0,,,,,,, 15 , 27 ,,8/20/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3665,,366524,Fraud Analytics,,PC,,,,1.0,,,,,,, 15 , 27 ,,1/17/24,,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3666,366622,,Fraud Examination,,PC,,,,12.0,, 85 ,,,,, 85 , 109 ,7,5/17/22,No,,na,,,,,,,36,60,,,,,"Accounting,Fraud",01, ,,,,,11/23/22: Cr increased from 12 to 1311/24/20: One new exam q added (now 64) but CPE reduced from 12.5 to 12 (was in error at 12.5). 11/11/19: one new exam q added and cr increased from 12 tyo 12.5.10/27/18: two new exam questions added (58 and 59) 365417 exam changed by mistake - no outstanding exams so I didi no correct.,,,,,,,,,
3688,,368824,Fraud in Government,,PC,,,,1.0,,,,,,, 15 , 27 ,,1/21/24,New,,na,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3743,,374324,Fraud in the Financial Markets,,PC,,,,1.0,,,, ,,, 15 , 27 ,,3/1/24,New,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3685,368520,368523,Fraud Schemes,,PC,,,,3.0,, 35 ,,,,, 35 , 47 ,,5/1/23,No,,na,,,,,,,,,,,,,"Accounting,Fraud",01, ,,,,,,,,,,,,,,
3603,360324,360325,GAAP Guidebook ,,F,,,,29.0,, 200 ,,,,, 189 , 219 ,7,11/5/24,No,,na,,,, 16.15 ,," 92,032 ",80,80,,,,,Accounting,01,,,,,,,,,,,,,,,
3721,,372124,Going Concern Audit Issues,,,,,,1.0,,,,,,, 15 , 27 ,,2/22/24,New,,na,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3654,365423,365425,Government Accounting,,,,,,13.0,, 90 ,,,,, 89 , 115 ,7,11/11/24,No,,na,,,,,," 77,316 ",36,65,,,,,Accounting (government),01, ,,,,,,,,,,,,,,
3728,4/2022,372824,Guide to Analytical Procedures,,,,,,1.0,,,,,,, 15 , 27 ,,2/23/24,New,,na,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3729,372924,372925,Guide to Audit Working Papers,,,,,,1.0,,,,,,, 15 , 27 ,,5/20/25,No,,na,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3730,373024 (2022),373025,Guide to Auditor Legal Liability,,,,,,1.0,,,,,,, 15 , 27 ,,5/23/25,No,,na,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3808,380824 (2022),380825,Guide to Data Analytics for Audits,,,,,,1.0,,,,,,, 15 , 27 ,,5/23/25,No,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3713,,371324,Guide to Electronic Payments,,,,,,1.0,,,,,,, 15 , 27 ,,2/16/24,New,,na,,,,,,,,,,,,,Finance,,,,,,,,,,,,,,,,
3800,380024,380025,Guide to Individual Retirement Accounts,,,,,,1.0,,,,,,, 15 , 27 ,,5/20/25,No,,,FWKK0-T-00717-25-S,,,,,,,,,,,,Taxes,,,,,,,,,,,,,,,,
3803,,380324,Guide to IT Auditing,,,,,,3.0,,,,,,, 35 , 47 ,,11/11/24,New,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
